Kod/zad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22.1,22.2,22.3,22.4,22.5,22.6,Płeć,Dysleksja,Lokalizacja,
Obszar,I,I,III,I,I,I,II,II,III,III,II,IV,II,II,I,II,I,I,I,III,III,III,III,III,III,III,III,,,,
Umiejętności,1.10,1.2,2.4,1.9,1.9,1.2,3.1,3.2,2.4,2.7,2.6,3.1,2.4,3.1,1.9,3.2,2.3,2.3,3.5,2.3,1.5,Treść,Segmentacja,Styl,Język,Ortografia,Interpunkcja,,,,
Punkty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,,,,
A1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,M,N,m,7
A2,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,2,1,0,0,0,M,N,m,14
A3,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,2,0,1,K,N,w,17
A4,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,M,N,m,18
A5,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,2,1,1,0,1,0,K,N,m,17
A6,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,M,N,m,13
A7,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,3,1,1,0,1,0,K,N,m,20
A8,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,2,0,0,M,N,m,17
A9,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,2,0,0,0,0,0,0,M,N,m,13
A10,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,0,K,N,m,23
A11,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,3,1,1,2,1,0,K,N,m,23
A12,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,M,N,m,19
A13,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,M,N,w,14
A14,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,M,N,w,14
A15,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,2,1,1,1,1,0,K,N,m,20
A16,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,K,N,m,18
A17,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,M,N,w,14
A18,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,2,1,1,M,N,m,13
A19,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,M,N,w,8
A20,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,M,N,m,9
A21,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,M,N,m,12
A22,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,K,N,m,16
A23,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,2,1,1,1,0,0,K,N,m,17
A24,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,2,0,0,K,N,w,15
B1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,2,1,1,0,0,0,K,N,m,17
B2,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,M,N,w,11
B3,0,0,1,0,0,1,0,0,,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,N,m,12
